open_time,volume,open,high,low,close
1639249200,81.832,48638.5,48750.0,48638.0,48749.5
1639250100,54.534,48749.5,48749.5,48671.5,48696.5
1639251000,317.997,48696.5,48715.0,48462.0,48486.0
1639251900,257.144,48486.0,48565.0,48357.0,48385.0
1639252800,188.829,48385.0,48537.0,48385.0,48465.5
1639253700,175.644,48465.5,48570.0,48423.0,48547.5
1639254600,213.506,48547.5,48738.0,48510.0,48675.5
1639255500,150.094,48675.5,48689.0,48550.5,48551.0
1639256400,293.358,48551.0,48570.0,48387.0,48439.5
1639257300,215.875,48439.5,48600.0,48439.0,48520.5
1639258200,176.739,48520.5,48565.5,48409.5,48474.0
1639259100,300.659,48474.0,48821.5,48469.0,48764.0
1639260000,166.084,48764.0,48821.5,48705.0,48754.0
1639260900,128.156,48754.0,48766.5,48634.0,48716.0
1639261800,505.658,48716.0,49142.0,48716.0,48993.5
1639262700,166.072,48993.5,48993.5,48836.0,48836.0
1639263600,746.817,48836.0,49449.5,48774.0,49168.0
1639264500,324.107,49168.0,49333.5,49123.5,49325.0
1639265400,442.026,49325.0,49489.0,49107.5,49225.0
1639266300,302.446,49225.0,49353.0,49094.5,49353.0
1639267200,617.857,49353.0,49588.5,49293.5,49425.0
1639268100,388.916,49425.0,49684.0,49391.0,49551.0
1639269000,418.618,49551.0,49601.0,49292.0,49312.0
1639269900,321.183,49312.0,49357.5,49195.5,49317.5
1639270800,143.989,49317.5,49414.5,49272.0,49362.5
1639271700,403.899,49362.5,49419.5,49050.0,49192.5
1639272600,169.601,49192.5,49245.0,49142.5,49221.5
1639273500,96.386,49221.5,49250.0,49144.0,49163.0
1639274400,198.985,49163.0,49219.5,49096.0,49120.0
1639275300,122.532,49120.0,49215.0,49119.5,49189.5
1639276200,111.691,49189.5,49267.0,49145.0,49266.5
1639277100,254.035,49266.5,49312.5,49026.0,49030.5
1639278000,117.207,49030.5,49086.0,49030.5,49076.5
1639278900,93.455,49076.5,49185.0,49076.0,49136.5
1639279800,169.77,49136.5,49347.0,49136.0,49322.5
1639280700,134.735,49322.5,49325.0,49250.0,49286.5
1639281600,266.79,49286.5,49305.0,49117.0,49121.0
1639282500,133.717,49121.0,49239.0,49077.0,49201.0
